"Report Name: My Account Performance Report"
"Report Time: 10/1/2020,11/7/2020"
"Time Zone: Various"
"Last Completed Available Day: 11/6/2020 9:05:00 PM (GMT)"
"Last Completed Available Hour: 11/6/2020 9:05:00 PM (GMT)"
"Report Aggregation: Daily"
"Report Filter: "
"Potential Incomplete Data: true"
"Rows: 501"

"TimePeriod","AccountNumber","AccountName","Impressions","Clicks","Spend"
"2020-10-20","F1074ELB","Lenovo Finland Direct","335","32","7.06"
"2020-10-20","F107DTZT","Lenovo Sweden Direct","972","74","29.63"
"2020-10-20","F107MVC9","Lenovo Ireland Direct","960","74","27.82"
"2020-10-20","F107P4UT","Lenovo UK Direct","10120","514","299.02"
"2020-10-20","X0006AXW","Bing Lenovo NL","1667","113","81.19"
"2020-10-20","X000XGAU","Bing Lenovo DK","443","46","9.40"
"2020-10-20","X7004130","Lenovo Austria Direct","2307","124","35.96"
"2020-10-20","X7356537","Lenovo Germany Direct","2240","204","38.79"
"2020-10-20","X8349003","Lenovo France Direct","9385","636","483.15"
"2020-10-21","B004295N","Lenovo Belgium","581","89","85.26"
"2020-10-21","B004ETLE","Lenovo Italy","2823","322","80.51"
"2020-10-21","B004SUHL","Lenovo Norway","281","20","2.50"
"2020-10-21","B004V7BM","Lenovo Spain","11176","688","333.33"
"2020-10-21","F1071RW6","Lenovo Switzerland Direct","1599","122","81.11"
"2020-10-21","F1074ELB","Lenovo Finland Direct","367","32","4.01"
"2020-10-21","F107DTZT","Lenovo Sweden Direct","1279","81","33.98"
"2020-10-21","F107MVC9","Lenovo Ireland Direct","893","53","24.41"
"2020-10-21","F107P4UT","Lenovo UK Direct","10339","487","310.91"
"2020-10-21","X0006AXW","Bing Lenovo NL","1522","122","71.73"
"2020-10-21","X000XGAU","Bing Lenovo DK","470","49","8.80"
"2020-10-21","X7004130","Lenovo Austria Direct","1758","98","25.82"
"2020-10-21","X8349003","Lenovo France Direct","8307","590","459.93"
"2020-10-22","B004295N","Lenovo Belgium","549","102","91.74"
"2020-10-22","B004ETLE","Lenovo Italy","3175","347","101.67"
"2020-10-22","B004SUHL","Lenovo Norway","292","26","3.85"
"2020-10-22","B004V7BM","Lenovo Spain","11359","707","319.36"
